Query,Volume,Intent,Segment,Cluster Name,Target URL,Page Type,Priority,Status
сыворотка с кислотами для лица,21500,Commercial,Active-Ingredient,Средства с AHA/BHA/PHA кислотами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейская косметика бренды,19600,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
косметика для проблемной кожи,19400,Commercial,General-Category,Уход за проблемной кожей (Акне),https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/spetsialnyy-ukhod2/tochechnaya-syvorotka-acsen-dlya-problemnoy-kozhi/,catalog_product,High,active
крем с ретинолом купить,19400,Commercial,Active-Ingredient,Средства с ретинолом,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
сыворотка от пигментных пятен,19200,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
сыворотка с пептидами,19100,Commercial,Active-Ingredient,Косметика с пептидами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейские патчи для глаз,18400,Commercial,Country-Origin,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
ретинол для лица отзывы,18400,Informational,Active-Ingredient,Средства с ретинолом,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
средства от пигментации,18300,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
пилинг с aha bha кислотами,15400,Commercial,Active-Ingredient,Средства с AHA/BHA/PHA кислотами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
коллаген питьевой купить,15400,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
патчи от отеков,15400,Commercial,Problem-Skin,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
отбеливающий крем от пигментных пятен,15400,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейская косметика москва,15300,Geo,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
средства от акне,15200,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
led маска,14200,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
антивозрастная косметика,14200,Commercial,General-Category,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
уход за проблемной кожей лица,14100,Commercial,General-Category,Уход за проблемной кожей (Акне),https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/spetsialnyy-ukhod2/,catalog_section,High,active
магний таурат,12500,Commercial,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,High,active
косметика от акне,12500,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
профессиональная корейская косметика,12400,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
косметика с ретинолом,12400,Commercial,Active-Ingredient,Средства с ретинолом,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
умывалка для проблемной кожи,11400,Commercial,General-Category,Уход за проблемной кожей (Акне),https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/spetsialnyy-ukhod2/tochechnaya-syvorotka-acsen-dlya-problemnoy-kozhi/,catalog_product,High,active
крем от морщин купить,11200,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
патчи от морщин,11200,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
косметика с пептидами,11200,Commercial,Active-Ingredient,Косметика с пептидами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
led маска для лица,11100,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
тоник с aha кислотами,9800,Commercial,Active-Ingredient,Средства с AHA/BHA/PHA кислотами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
лучшая корейская косметика,9800,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
гидрогелевые патчи,9800,Commercial,General-Category,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
сыворотка от акне,9800,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
лед маска,9300,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
пенка для умывания от прыщей,9300,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
коллаген в стиках,9200,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
крем для век с пептидами,9200,Commercial,Active-Ingredient,Косметика с пептидами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейская косметика для лица,8700,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
косметика от морщин,8500,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
косметика для лица от прыщей,8500,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
швейцарская косметика,8500,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,High,active
косметика с кислотами,8300,Commercial,Active-Ingredient,Средства с AHA/BHA/PHA кислотами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
коллаген порошок купить,8300,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
средства от пигментных пятен на лице,8300,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
лед маска для лица,7200,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
косметика от пигментации,7200,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
лучший питьевой коллаген,7100,Informational,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
сыворотка с лифтинг эффектом,6400,Commercial,General-Category,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
крем для лица с aha кислотами,6200,Commercial,Active-Ingredient,Средства с AHA/BHA/PHA кислотами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейская уходовая косметика,5400,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
сыворотка с ретинолом для лица купить,5400,Commercial,Active-Ingredient,Средства с ретинолом,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
светодиодная маска для лица,4800,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
корейские гидрогелевые патчи,4800,Commercial,Country-Origin,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
корейская косметика от прыщей,4800,Commercial,Country-Origin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/troiareuke/,brand,High,active
коллаген пептидный купить,4300,Commercial,Active-Ingredient,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
корейская профессиональная косметика для лица,4200,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
магний таурат в капсулах,4100,Commercial,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,High,active
швейцарский крем для лица,4100,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,High,active
корейская косметика спб,3900,Geo,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
магний таурат для чего,3900,Informational,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,High,active
профессиональный крем от морщин,3200,Commercial,Problem-Skin,Омоложение & Борьба с морщинами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/,catalog_section,High,active
магний таурат купить,3200,Commercial,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,High,active
профессиональная косметика от акне,3200,Commercial,Problem-Skin,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,High,active
швейцарская косметика для лица,3200,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,High,active
led маска купить,3100,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
пептиды коллагена питьевые,3100,Commercial,Active-Ingredient,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,High,active
оригинальная корейская косметика,3100,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
патчи для глаз купить в москве,3100,Geo,General-Category,Патчи для глаз,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/dlya-kozhi-vokrug-glaz/patchi/,catalog_section,High,active
сыворотка от пигментации на лице купить,3100,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
корейский крем от пигментных пятен,2900,Commercial,Country-Origin,Борьба с пигментацией,https://mhave.ru/brands/troiareuke/,brand,High,active
косметика из швейцарии,2900,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,High,active
премиум корейская косметика,2800,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
led маска для лица купить,2500,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
питьевой магний,2400,Commercial,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,High,active
пептидная косметика купить,2100,Commercial,Active-Ingredient,Косметика с пептидами,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,High,active
маска для фототерапии лица,1900,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
корейские средства для лица,1900,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,High,active
магний таурат отзывы,1800,Informational,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,High,active
швейцарская профессиональная косметика,1800,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,High,active
швейцарская косметика купить,1500,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,High,active
led маска отзывы,1200,Informational,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,High,active
troiareuke,980,Brand-Navigational,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
люкс косметика швейцария,950,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,Medium,active
магний в стиках,850,Commercial,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,Medium,active
премиум косметика швейцария,800,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,Medium,active
косметика troiareuke,720,Commercial,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
швейцарская сыворотка для лица,650,Commercial,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,Medium,active
egeny,580,Brand-Navigational,Brand,Бренд Egeny (Добавки),https://mhave.ru/brands/egeny/,brand,Medium,active
коллаген egeny,480,Commercial,Brand,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,Medium,active
лед маска le maitre,450,Commercial,General-Category,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,Medium,active
косметика швейцария купить в москве,450,Geo,Country-Origin,Швейцарская косметика - Общие,https://mhave.ru/brands/atb-lab/,brand,Medium,active
atb lab,420,Brand-Navigational,Brand,Бренд ATB Lab (Швейцария),https://mhave.ru/brands/atb-lab/,brand,Medium,active
магний таурат купить в москве,420,Geo,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,Medium,active
troiareuke купить,410,Commercial,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
led маска lifotronic,380,Commercial,Brand,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,Medium,active
troiareuke официальный сайт,350,Commercial,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
egeny коллаген,320,Commercial,Brand,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,Medium,active
косметика atb lab,310,Commercial,Brand,Бренд ATB Lab (Швейцария),https://mhave.ru/brands/atb-lab/,brand,Medium,active
светодиодная маска lifotronic raymore,290,Commercial,Brand,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,Medium,active
troiareuke отзывы,290,Informational,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
egeny магний,280,Commercial,Brand,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,Medium,active
atb lab официальный сайт,250,Commercial,Brand,Бренд ATB Lab (Швейцария),https://mhave.ru/brands/atb-lab/,brand,Medium,active
troiareuke acsen,240,Commercial,Brand,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,Medium,active
egeny магний таурат,210,Commercial,Brand,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,Medium,active
питьевой коллаген egeny,190,Commercial,Brand,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,Medium,active
troiareuke крем,190,Commercial,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
магний таурат egeny,190,Commercial,Brand,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,Medium,active
atb lab купить,180,Commercial,Brand,Бренд ATB Lab (Швейцария),https://mhave.ru/brands/atb-lab/,brand,Medium,active
troiareuke кушон,180,Commercial,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
mhave,150,Brand-Navigational,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
acsen,150,Brand-Navigational,Brand,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,Medium,active
сайт mhave,150,Brand-Navigational,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
acsen купить,150,Commercial,Brand,Уход за проблемной кожей (Акне),https://mhave.ru/brands/acsen/,brand,Medium,active
mhave интернет магазин,150,Brand-Navigational,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
slujt косметика,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/kosmetika/,catalog_section,Medium,active
купить уходовую косметику россия,150,Geo,General-Category,Общие категории ухода,https://mhave.ru/brands/,static_page,Medium,active
лед маска lifotronic инструкция по применению на русском,150,Informational,Brand,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,Medium,active
мхэв косметика,150,Brand-Navigational,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
натуральный питьевой коллаген с нейтральным вкусом в стиках,150,Commercial,Supplements,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,Medium,active
фарфоровый массажер троярике,150,Commercial,Brand,Бренд Troiareuke (Корея),https://mhave.ru/brands/troiareuke/,brand,Medium,active
натуральный питьевой коллаген egeny с соком шиповника в стиках,150,Commercial,Brand,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,Medium,active
троярики косметика,150,Commercial,Brand,Общие категории ухода,https://mhave.ru/brands/troiareuke/,brand,Medium,active
где в москве купить корейскую косметику премиального качества,150,Commercial,Country-Origin,Корейская косметика - Общие,https://mhave.ru/brands/troiareuke/,brand,Medium,active
ассен маска восстанавливающая,150,Commercial,Brand,Общие категории ухода,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/maski1/uvlazhnenie-i-pitanie7/spetsialnyy-ukhod3/nochnaya-vosstanavlivayushchaya-maska-acsen/,catalog_product,Medium,active
mawe космецевтика,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
троярика,150,Commercial,Brand,Общие категории ухода,https://mhave.ru/brands/troiareuke/,brand,Medium,active
сыворотка от пигментных пятен для лица super brigh,150,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,Medium,active
сыворотка от пигментных пятен для лица super brightening serum 30мл,150,Commercial,Problem-Skin,Борьба с пигментацией,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/syvorotki-i-kontsentraty1/,catalog_section,Medium,active
мхэв официальный сайт косметика контакты,150,Brand-Navigational,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
филорга купить в москве,150,Geo,General-Category,Общие категории ухода,https://mhave.ru/catalog/,catalog_other,Medium,active
атб лаб,150,Commercial,Brand,Бренд ATB Lab (Швейцария),https://mhave.ru/brands/atb-lab/,brand,Medium,active
paese косметика,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/kosmetika/,catalog_section,Medium,active
магний с таурином со вкусом черной смородины,150,Commercial,Supplements,Магний Таурат & Поддержка нервной системы,https://mhave.ru/catalog/pishchevye-dobavki/magniy-taurat/,catalog_section,Medium,active
консилер для лица,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,Medium,active
лед маска lifotronik,150,Commercial,Brand,Светодиодные LED маски & Фототерапия,https://mhave.ru/catalog/aksessuary/svetodiodnaya-led-maska-dlya-litsa-lifotronic-raymore-50e-dlya-fototerapii-liftinga-i-omolozheniya-k/,catalog_product,Medium,active
косметика xivowa,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/kosmetika/,catalog_section,Medium,active
atb косметика,150,Commercial,Brand,Бренд ATB Lab (Швейцария),https://mhave.ru/brands/atb-lab/,brand,Medium,active
agt косметика купить,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/kosmetika/sredstva-dlya-litsa/uvlazhnenie-i-pitanie/agt-hydro-cream-krem-mgnovennoe-uvlazhnenie-a-g-t/,catalog_product,Medium,active
egenu коллаген питьевой персик,150,Commercial,Brand,Коллаген и добавки для кожи,https://mhave.ru/catalog/pishchevye-dobavki/peptidnyy-kollagen/,catalog_section,Medium,active
эжени косметика,150,Commercial,Brand,Общие категории ухода,https://mhave.ru/brands/egeny/,brand,Medium,active
мхаве это,150,Brand-Navigational,General-Category,Общие категории ухода,https://mhave.ru/,static_page,Medium,active
премиум косметика,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/kosmetika/,catalog_section,Medium,active
косметика для косметологов профессиональная,150,Commercial,General-Category,Общие категории ухода,https://mhave.ru/catalog/kosmetika/,catalog_section,Medium,active
